Gene,immature,A,B
SGIP1,0,0,0
PHF3,8.889192,6.125712,9.701365
ZC2HC1B,0,0,0
ADGB,0,0,0
PLAGL1,6.692499,11.450944,4.435353
FBXO30,1.897807,2.694547,1.978192
TNFAIP3,25.025068,184.675156,17.630114
AKAP7,1.805436,5.81714,1.584261
RAB32,59.15641,36.036457,60.215714
MYB,0,0,0
ALDH8A1,0.293849,7.66E-02,0.172815
SGK1,160.254105,125.102119,139.395782
RNF146,13.129868,10.78768,11.124323
ARG1,0,0,0
CTGF,0,5.00E-02,0
TCF21,0,0,0
PMFBP1,2.84735,1.727269,1.264962
FBXL5,23.954002,34.837723,22.11166
MED28,6.554358,8.52789,15.968869
SLC16A7,0.292171,0.103214,0.295775
TMEM5,5.072698,4.717494,4.654177
ZNF430,4.808123,3.690309,4.987855
VAMP8,210.412781,252.691299,210.841492
DCLRE1B,5.69185,6.117396,5.523235
MYL12B,180.137299,209.067505,176.149658
FOXO3,5.95417,7.01088,5.322783
ARMC2,1.110561,0.291672,1.143965
GHRH,0,0,0
RPN2,123.996933,117.385468,118.872238
TGIF2,7.593382,9.624994,6.690022
CASQ2,0,0,0
OLFM3,0,0,0
PKD2,6.493191,10.553191,22.111769
ABCG2,7.726164,1.512931,22.085443
SPP1,2216.033447,1750.975098,1226.578247
FAM47E-STBD1,4.310269,11.798926,3.131934
CCNI,80.405945,41.012604,50.466698
RARRES1,59.720776,41.776596,53.367104
MFSD1,154.06044,184.834473,147.706573
RAB3GAP2,6.622728,6.877307,6.217385
FAM86A,6.491424,5.501112,7.013155
PPL,0.025435,0,0
UBN1,8.961691,12.067653,13.892426
BTF3P11,0,0,0
KLF12,0.271254,0.307951,0.267032
UCHL3,21.645733,3.287951,18.087666
PCDH17,0,0,0
HS1BP3,25.004992,19.084417,21.346756
C2orf43,5.727846,5.720999,5.541999
WDR35,0.948808,0.449263,0.407382
CCND2,8.970589,4.151231,10.683679
FGF23,0,0,0
HIN1L,0.755727,1.932472,0.88089
ELL2,9.424241,9.399137,6.22094
GLRXP3,0.827513,2.081069,0.140676
DNAH7,0.004402,0,1.21E-02
CYP20A1,6.53857,7.065983,7.401041
NDUFB3,50.719601,81.781578,43.635349
GTF3C3,12.921862,15.188703,16.843456
SATB2,0.092725,0.145763,0.155733
UBE2B,19.076809,37.003555,19.588964
TRPM6,0,0,0
GDA,1.469579,0.440483,1.10243
KLF9,5.438009,10.34081,4.816385
TJP2,7.662767,9.788809,14.219286
C2orf40,0.203966,0,0
ITGB1BP1,129.082764,38.091923,100.286278
CPSF3,20.048771,17.231108,21.057709
PIGZ,2.690955,1.0504,0.856413
SENP5,6.654852,8.022804,7.036894
CCDC92,6.61352,6.999818,11.538385
C1orf198,2.883597,1.822151,2.279733
TRIM67,0,0,0
HEATR1,4.940099,5.380968,6.687519
PTBP3,11.500532,14.310019,17.531176
RAD23B,27.649225,30.811954,32.168671
FKBP15,63.567879,80.35038,55.213154
CTNNAL1,2.868047,0.580941,55.414143
FAM206A,8.089994,7.040563,6.060398
WDR34,5.363871,3.500931,2.77895
SET,85.740257,64.231285,79.987991
PPP2R4,43.421253,48.459534,46.999084
GLE1,24.630426,25.41461,24.108889
RAB14,26.52194,27.110369,24.739965
CNTRL,6.722679,4.576059,3.342732
TRIM32,4.465746,1.189418,3.39281
FBXW2,12.409915,12.964948,13.648773
PHF19,11.893674,3.352101,9.823551
NEK6,84.117279,88.837578,144.327667
BSPRY,0.069367,1.668364,0.111772
PPP6C,14.246987,10.053473,12.93637
NDUFA8,35.28458,38.094879,36.459072
HDHD3,11.6425,17.820919,16.212606
LCN1P1,0,0,0
RBM18,5.254948,6.511286,5.52479
SLC46A2,0.358674,0.36738,0.455895
HSDL2,8.367829,8.06091,7.859004
MAPKAP1,47.65567,34.628551,63.072865
NR4A3,5.077413,8.366173,22.943319
INVS,3.295407,4.473539,3.7931
GALNT12,39.815125,13.600705,69.103691
DENND1A,5.346215,9.663013,6.854786
ALG2,15.606548,17.833178,14.260261
CSF3R,70.584763,45.901165,56.866776
KDSR,14.081661,13.877383,15.920511
VPS4B,22.074499,21.720427,20.566011
ONECUT2,0,0,0
C19orf25,9.50752,9.734625,11.916448
ZBTB45,5.288422,5.568265,5.147901
YLPM1,9.101353,10.260911,9.838268
DCAF4,5.181063,4.558582,5.8706
PROX2,0.1609,0.111401,5.54E-02
VSX2,0,0,0
FCF1,15.901569,12.818967,16.800648
PGF,0.884301,0.40609,0.619294
IFI27L2,46.197998,29.60961,30.466623
CCDC176,1.331909,0.449171,0.682724
NEK9,17.955019,17.921825,23.105257
ACYP1,4.0282,3.662487,2.863055
IFT43,4.844979,4.934619,6.113405
NPC2,440.895325,303.73111,560.266541
RP11-293M10.4,0,0,0
DNAL1,1.328911,1.934726,0.40257
IRF2BPL,14.993639,20.103199,12.202617
ACOT2,71.101013,54.489414,55.308487
LTBP2,0.112293,5.85E-02,4.16E-02
AREL1,16.961683,20.856134,18.293825
MLH3,5.454893,3.548372,4.53973
TTLL5,6.48142,4.504401,4.905513
FLVCR2,8.271633,12.246395,15.115144
ABCD4,16.222284,22.563992,17.77956
DLST,60.049297,63.923145,34.235157
PPP4R4,0,0,0
TGFB3,0.124331,0.648438,0.295768
ZC2HC1C,0.380871,0.344774,0.650476
SLIRP,31.985645,28.897112,34.207794
RBM25,13.431373,18.875381,17.015375
ALDH6A1,2.95946,1.722482,2.285165
GPR68,4.573778,7.003182,3.666157
ESRRB,0,2.92E-02,6.40E-02
EIF2B2,19.881653,13.666932,20.527685
NRDE2,2.937108,4.466474,4.503231
COQ6,5.66526,7.037762,8.47835
ZNF410,11.585882,11.497701,11.170351
RHOQ,50.187191,45.166855,33.405956
GPR75,0.126273,0.272557,0.209013
SUPT7L,9.669891,13.526485,11.830111
KLHL29,0.124972,0.131426,8.65E-02
DNMT3A,7.429122,3.757841,9.718732
TMEM214,33.293667,32.882515,22.903128
ATAD2B,2.952051,4.91773,5.807074
FKBP1B,2.353551,1.428676,4.010213
ATL2,5.574141,7.689632,5.549136
YPEL5,26.23159,26.371815,29.565054
FAM98A,12.52388,15.123789,18.237261
YIPF4,4.594473,3.715806,4.048605
AFTPH,14.204153,19.250702,13.570162
LGALSL,7.866645,1.531336,4.979464
CNRIP1,1.700056,0.988649,1.84533
BCL11A,7.289711,6.764106,4.03656
CRIPT,4.935585,3.818213,4.464943
EPCAM,0.093696,2.25E-02,0
SLC17A5,33.45322,29.701618,31.761961
OGFRL1,13.822279,37.670509,21.188475
FAM178A,12.839611,9.842391,16.286968
IDE,5.903316,10.031905,6.684556
TECTB,0,0,0
ELOVL3,0,0.142928,0
IFIT3,12.3052,170.596237,8.135993
NKX2-3,0,0,0
IFIT2,2.57477,32.99258,3.248264
GPAM,1.440448,1.097223,1.455572
CUTC,8.450566,6.558479,8.136505
PPP1R3C,0,0,0
PYROXD2,0.575558,0.131122,0.798942
CNNM1,0,0,0
MXI1,12.516726,5.019098,11.664481
SMNDC1,5.964857,8.523142,7.022559
C10orf88,1.860818,1.892873,1.409846
HELLS,0.716681,0.498313,5.22E-02
PRLHR,0,0,0
TCTN3,17.373064,19.773067,19.75807
FAM45A,10.845842,8.807385,9.662312
AVPI1,31.038971,14.347386,37.839684
WDR11,40.445534,38.438148,51.341991
C10orf76,13.252687,14.322783,12.500061
KCNIP2,0.872332,0.264093,0.692207
CCDC147,0.609691,0.684554,2.69E-02
GOT1,12.72928,10.187659,14.048225
CPN1,0,0,0
C10orf95,0.451671,0.891747,0.657115
SFRP5,0,0,0
GNA13,22.742041,45.663021,25.901131
HOXB8,0,0,0
KANSL1,7.37645,7.115075,5.220494
HOXB5,0.026557,0,0
CRHR1,0,6.14E-03,0
HOXB3,0.113967,0.278965,5.56E-02
HOXB1,0,0,0
DUSP1,7.505303,15.865589,8.025266
PANK3,8.515516,9.539143,9.092749
MSX2,0,0,0
TEK,0,0,0
RCL1,4.255903,2.642761,4.686445
CAAP1,3.279791,5.858315,4.986173
EQTN,0,0,0
MOB3B,2.107384,1.716483,2.908247
INSL6,0,0,0
INSL4,0,0,0
MLANA,0.089778,4.95E-02,0.110715
CD274,11.37551,57.124924,21.890476
IFNA6,0,0,0
IFNA8,0,0,0
GRIA2,0,0,0
NUP43,6.554473,5.951057,6.507678
MTHFD1L,2.830594,1.372847,5.034294
LRP11,2.24127,2.396107,2.404175
CCDC170,0.191392,1.914971,0
PCMT1,33.63871,30.11656,29.379642
PLEKHG1,0.022419,0.119818,8.47E-02
MYCT1,0.017296,0,0
CXorf21,5.688817,4.095768,5.782185
MAGEB4,0,0,0
CYSTM1,81.948135,49.1665,70.881996
WDR55,9.61867,14.335464,9.985554
ARAP3,9.925917,3.606138,2.859026
PCDHB8,0.006621,0,0
PCDHB10,0.005482,1.17E-02,0
PCDHB14,0,0,0
PCDHB12,0,0,0
SLC25A2,0,7.77E-03,0
TNN,0,0,0
MRPS14,7.5034,7.509942,8.094618
CENPL,2.100749,1.576118,2.546776
TNFSF18,0,0,0
SEC16B,0.040935,0,0
GORAB,4.771992,5.670401,4.57148
GPR31,0,0.18983,0
ACAT2,149.488403,32.390957,80.188774
TCP1,95.886513,52.003551,75.700119
TTLL2,0,0,0
SNX19,18.610758,22.273415,20.793987
KCNJ5,38.575783,6.491022,21.76729
MSANTD2,1.487715,1.700785,1.044752
TP53AIP1,0,5.47E-02,0
TEX11,0,0,0
ARR3,0,0,9.43E-02
PDZD11,18.421375,16.489143,19.251936
SLC10A7,3.291299,2.920732,2.365424
NUDCD1,1.621073,4.210092,2.096854
ENY2,16.481878,15.385029,16.521627
MASTL,3.1367,5.434645,2.611723
KIAA1217,0,2.09E-02,0
SEPT7P9,0,0,0
LYZL1,0,0,0
MRC1,11.186597,1.846032,123.91655
PLXDC2,25.382664,12.27578,21.284412
EPC1,7.651392,8.35596,6.296313
IQSEC3,0,0,0
CCDC77,4.557439,5.02384,3.810486
TAF12,13.5373,15.632885,17.540913
ENOX1,0,0,0
TNFSF11,0,0,0
MTRF1,4.463105,5.542587,4.951813
SPG20OS,0.286662,0.237799,0.306533
SOHLH2,0,0,0
DNAJC15,9.514603,12.942047,9.978383
PROSER1,8.179916,12.91874,10.249252
UFM1,22.908516,14.117013,24.140995
WBP4,6.085526,7.705058,5.758897
ELF1,27.225533,28.301954,18.311708
SMAD9,0.086531,1.38E-02,4.70E-02
HSPH1,35.620144,35.898094,77.651009
KBTBD7,0.726719,0.80976,0.672238
ALG5,18.325083,14.437312,17.302898
EXOSC8,7.330178,4.945867,9.381328
ETF1,31.827396,32.272186,41.334415
TGFBI,37.509727,56.538177,106.656227
FAM53C,12.88099,15.792837,14.477741
SIL1,20.515614,29.695475,30.490635
PAIP2,37.763252,55.000893,39.492321
MYOT,0,0,0
KDM3B,15.716134,16.870462,16.800592
EGR1,2.395365,3.434659,2.431211
SERP1,59.337078,51.904793,72.119064
PLS1,1.150351,0.694267,0.425017
ZFP30,0.88419,1.951779,1.494111
NR2C1,12.393812,7.216391,9.948593
UTP20,2.693051,2.424446,2.975208
TMPO,10.972663,9.348554,8.506346
ARL1,23.904501,20.406954,15.324951
GLT8D2,0,4.21E-02,0
MTERFD3,1.08777,0.935017,1.305372
SOCS2,0.158855,0.624321,0
NFYB,6.064697,4.514518,6.489369
CCDC53,17.040436,22.804743,23.386612
APAF1,5.852668,4.668551,8.14645
DUSP4,0.199416,0.863417,0.206892
CLU,29.113659,206.104614,48.315762
TNFRSF10B,19.318344,22.692333,19.343075
SORBS3,64.92807,34.718735,47.724571
PTK2B,39.350155,56.715755,21.945177
CHRNA2,0.026308,0,0
ADRA1A,0,0,0
PPP3CC,7.050086,20.806042,6.733833
PDLIM2,13.994887,6.660524,18.17067
EPHX2,0,3.75E-02,0
RNF170,6.796447,5.843346,9.234873
NPPB,0,0,0
UBIAD1,4.371259,3.553231,3.119002
TARDBP,36.668507,35.119499,31.486721
TNFRSF8,1.305508,1.752751,0.167644
PRAMEF2,0,0,0
ZNF706,39.55933,30.461538,40.729786
LYPLA1,21.640448,23.135155,18.019684
CRISPLD1,0,0.707354,0
COPS5,24.058279,23.339365,24.007067
RDH10,5.147671,1.400891,6.742717
EPX,0,1.98E-02,0
AKAP1,8.993025,7.936823,9.270711
COIL,3.876109,4.235903,4.469277
TRIM25,25.198597,49.009148,26.628029
SCPEP1,153.825043,327.104523,221.174515
SPOP,11.389876,12.678126,13.56433
TBX2,0,0,4.40E-02
SLC35B1,30.159811,21.803265,29.255608
TBX4,0,0,0
NACA3P,5.440928,3.735495,6.850068
TEX14,1.772943,1.414267,2.287421
FAM117A,2.398727,3.983543,1.492333
NCAPH,194.943497,33.736355,139.85173
LRAT,0,0,0
KIAA0922,3.856857,2.657473,3.168993
MND1,0.389369,0,9.21E-02
TRIM6,0.477842,1.710065,0.519737
ABCC11,0,6.45E-02,0
PAPD5,5.737705,3.029719,6.419215
ADCY7,35.051838,36.263817,48.287598
CEP89,3.746359,3.699367,3.727034
TSHZ3,0.725312,1.238209,0.627001
ECHDC2,7.337287,9.364987,10.155855
TAS2R8,0,0,0
PLBD1,123.368362,82.228577,120.57386
TAS2R10,0,7.99E-02,0
PRB2,0,0,0
PYROXD1,7.767352,7.595569,8.827668
IAPP,0,0,0
KCNJ8,0,0,0
TAS2R7,0,0,0
BCL2L14,0,26.366867,0
TAS2R9,0,0,0
RP11-408E5.4,0,0,0
PSPC1,11.424036,12.580182,16.258841
ZNF549,1.414445,1.05338,1.376633
A1BG,8.882489,3.548792,8.110632
ZSCAN18,2.755319,1.937914,3.164372
ZNF211,3.118479,3.238766,4.316737
PDZRN3,0,0,0
RGSL1,0,0,0
LHX4,0.488828,0.338387,0.437721
RNF2,4.278332,3.056102,5.241843
TRMT1L,6.724936,8.88367,8.878994
SEC22A,2.950551,2.50137,2.235081
CSTA,60.610802,49.785084,37.724716
DPPA4,0,2.79E-02,0
POPDC2,0.767282,0.273854,0.17599
B4GALT4,2.981463,4.332692,4.263193
NAA50,23.143961,19.422113,23.891943
CD80,2.044782,63.097027,1.205308
KIF18A,0.349044,4.36E-02,7.56E-02
GJA8,0,0,0
DESI2,6.311522,7.174722,5.917634
MAPK8IP1,0.166612,0.322547,0
CRY2,4.217199,5.686209,4.160901
PEX16,13.178597,14.005486,14.341564
DEPDC7,0.345045,2.625696,0.613294
CAT,71.497253,33.770996,110.046539
PILRB,17.027096,26.693008,14.078499
ZMYM2,7.646766,6.743717,13.099465
GJB6,0.076138,5.56E-02,0
GJA3,0.041194,5.29E-02,0
TBC1D15,15.840041,14.388209,17.471325
BAI2,0.019798,0,0
HCRTR1,0,0,0
ZCCHC17,12.552508,5.540451,11.872583
FABP3,178.285431,21.105972,153.53833
KHDRBS1,26.78335,26.63813,28.749332
TMEM39B,5.854698,3.955616,3.75268
CCRL2,69.552307,105.391655,65.123108
CCR2,0.184536,0.399989,0.298266
RNF115,4.180218,12.376071,3.099962
POLR3GL,15.497149,15.640891,14.986117
GHSR,0,0,0
TNFSF10,2.00526,63.350647,1.742597
ZNF639,6.354442,4.814679,3.829204
SLITRK3,0,0,0
PIK3CA,6.557825,7.894801,5.523499
PDS5A,12.895264,13.567049,15.40765
TMEM156,0.440771,0.382868,0
LIAS,5.025818,4.304082,5.00736
CPXM2,0,0,0
TMEM54,0.212718,0.766315,0.621702
ZSCAN20,0.596994,1.317841,0.372789
CSMD2,0,0,0
HPCA,0,0,0
LRIF1,2.57626,2.992532,1.873275
ADORA3,1.676177,0.167138,2.450356
CLCC1,3.766043,5.818192,6.263067
GPSM2,1.897626,1.154763,1.329809
GTDC1,7.88518,7.125572,8.000256
CXCR4,98.27787,34.449207,61.162407
ZRANB3,0.361935,0.554961,0.663209
ACVR2A,2.437592,2.609595,1.73086
POLK,5.499601,7.962902,4.585901
SV2C,0.029788,2.70E-02,0
FLT3,0,3.02E-02,0
RPL21,315.72348,216.018753,274.49054
MTIF3,21.447012,18.593481,22.603199
GTF3A,65.565292,46.48288,78.66394
RASL11A,4.974729,1.225878,3.333994
UBL3,12.372714,11.156823,19.501888
LINC00544,0,0,0
FYTTD1,8.214118,9.4844,4.778864
MTERFD2,12.166557,6.633772,11.758574
XPNPEP2,0.895319,7.21E-02,2.584721
SASH3,67.839943,66.518814,128.893417
OCRL,6.416212,4.233174,7.086149
PAEP,0,0,6.46E-02
OBP2A,0,0,0
MRPS2,7.454813,9.098672,6.986675
TBX22,0,0,0
FMOD,0,0,0
MYOG,0,0,0
LAX1,0.103891,0.483615,0.234287
PLG,0,4.51E-02,2.35E-02
KIAA1191,21.728008,24.386152,21.259863
COPA,51.953884,51.609875,58.196304
CD244,0.563573,0.288676,0.143778
LY9,19.271955,11.384459,34.652103
HS3ST2,103.084427,8.48697,134.991821
RBBP6,11.509631,15.837562,13.447221
ZC3H7A,15.151248,14.012634,13.583329
PRM2,0,0,0
SERAC1,3.729444,2.151609,4.260675
ANXA11,81.61834,106.395081,277.024872
LDB3,0,0,0.216958
OPN4,0,0,0
FAM35A,5.864536,5.966305,5.419348
FAM213A,63.656567,44.812611,33.339985
ZNF205,1.797465,3.045352,1.853242
NAA60,23.297449,21.43087,18.962738
RPL5,288.053467,168.570862,287.048218
ODF2L,2.164876,8.21346,1.831936
PTGFR,0,0,0
SPATA1,0.891521,0.590013,0.92806
TRMT13,2.190612,3.107442,3.702908
LRRC39,0.404505,0.129059,0.424754
RWDD3,4.906417,5.283212,4.875427
ZNF644,5.091204,8.798938,7.02861
CCDC18,0.918724,1.416283,2.978181
RPAP2,1.210208,0.899329,0.902944
PQLC1,17.606211,22.711697,22.357113
NBPF14,8.204643,10.165324,6.036347
BBS9,2.2923,1.981007,2.694644
PMS2,3.361223,3.315037,3.0469
ZMIZ2,38.750935,65.967964,26.704025
OCM,0,0,0
43715,37.297623,38.17416,74.799164
EEPD1,15.956775,1.272856,14.572514
KIAA0087,0,0,0
KLHL7,9.237944,5.451745,4.516105
HERPUD2,9.853739,13.374826,17.829599
CBX3,46.337887,49.73724,44.546795
HNRNPA2B1,198.074768,268.183197,202.525848
WIPF3,0.386816,9.16E-03,6.91E-02
NXPH1,0,0,0
NPY,0,0,0
FAM126A,3.380006,2.404057,4.434421
HOXA7,0,0,0
INHBA,0.325764,22.927477,0.276485
FKBP9,6.491616,8.995416,7.110439
NT5C3A,6.924503,40.148819,8.29779
ARL4A,5.059972,3.103853,2.519766
CCZ1,15.468014,24.649286,16.564898
POLM,7.99543,6.718579,9.571032
RAMP3,0,0,0
FTSJ2,15.508192,6.676737,12.767829
TWIST1,0,0.642817,0
SMU1,7.077631,6.402791,5.699209
GLIPR2,52.365799,79.248032,80.340988
SLC25A51,7.848459,6.392028,7.915465
CLTA,121.138268,138.815704,157.750153
RECK,0.652844,1.058157,0.14368
SPINK4,0,0,0
OR2S2,0,0,0
TAF1L,0,0,0
ACO1,35.587738,35.489204,15.508771
KIAA1045,0.075207,4.11E-02,0
DNAI1,0.040637,0,7.18E-02
DCAF10,4.084051,5.021915,3.829971
CNTFR,0,0,0
KIAA1549,0.051817,8.25E-02,4.25E-02
TRIM24,5.739874,4.252069,2.50221
C7orf49,17.038471,27.399712,17.965132
CALD1,0,0,7.90E-02
AKR1D1,0,5.51E-03,0
NUDT10,0,0,0
SFTPA1,0,0,0
NEUROG3,0,0,0
PLAU,51.875122,32.845131,26.915131
SRGN,85.924187,711.186157,140.613571
CHST3,0,8.46E-02,0
BICC1,0,0,0
ARL4P,0.025458,3.67E-02,0
CISD1,3.46379,4.4865,5.075641
EGR2,74.042267,62.391579,99.384972
ECD,8.432132,8.572689,10.663841
P4HA1,17.590359,34.679817,20.514347
SLC25A16,3.949701,4.90834,3.578929
ZWINT,6.726554,1.902277,3.964316
VPS26A,30.103296,24.945227,36.581051
RBM19,17.283691,18.964209,14.506001
CIT,0.298942,0.1066,7.10E-02
IFT81,0.850424,0.839629,0.653434
ACADS,24.838772,15.973437,23.262125
HVCN1,58.157413,55.982906,52.03529
NME2P1,3.364181,2.077408,4.628497
DDX54,13.838107,15.23133,15.041069
MED13L,12.594012,16.827606,14.573962
CDKN2C,1.46603,0.209287,0.488751
RNF11,12.371054,13.64365,11.453381
RASSF8,1.188678,1.259811,1.246878
BHLHE41,26.749014,19.38695,33.866489
SSPN,0.247977,1.620262,9.55E-02
ITPR2,7.138359,10.798654,13.581896
CCDC91,9.245908,8.533999,9.171776
NECAB1,0,0,0
WWP1,10.35441,8.548702,9.513175
ACOT9,34.696117,76.051361,31.742867
PRDX4,55.724045,52.575802,58.214222
DDX39A,30.529097,29.387083,22.093122
PKN1,38.053318,37.033451,46.256962
C19orf43,49.31115,43.594704,75.761513
CD97,73.483604,151.676392,64.603912
WDR83,3.085148,6.562246,7.492871
GIPC1,22.699739,29.133736,23.701061
ACTRT1,0,0,0
CCDC70,0,0,0
SPRYD7,2.9687,2.508422,3.528275
EBPL,1.10446,0.497896,0.435493
ATP7B,0.087496,4.76E-02,8.00E-02
ZC3H13,11.517928,14.377064,16.708715
GUCY1B2,0,0.321685,0
NLN,16.973707,12.873917,11.07771
CENPK,0.8842,0.170558,0.270333
OPTN,61.017838,143.958267,28.373007
ITIH5,0.024137,2.27E-02,2.63E-02
ATF1,7.869179,8.50891,7.443953
TSFM,9.018588,32.022736,8.850433
NEUROD4,0,0,0
ARHGAP9,32.652859,27.016573,46.449467
NCKAP1L,101.743179,113.94603,126.558792
MMP19,66.064857,28.446301,45.151478
PFDN5,166.160339,118.452682,208.66095
SPATS2,7.670616,6.728898,8.679063
ORMDL2,19.754662,17.27479,16.847433
NR4A1,0.500389,1.185858,1.097805
PDE1B,3.806645,3.051295,4.798711
HOXC13,0,0,0
CDK2,2.8684,4.533185,4.621852
LRP1,125.920952,56.23217,149.870605
HOXC11,0,0,0
C12orf44,14.354458,12.311215,13.49657
NFE2,0.088125,0.211759,0.482986
HOXC12,0,0,0
IKZF4,0.835449,3.579813,1.026759
SMUG1,9.477066,9.875465,10.143346
TUBA1B,333.362701,197.492523,369.049805
METTL21B,9.777984,3.970849,4.461855
KBTBD4,5.251682,2.995112,1.83717
TYRL,0,0,0
SARDH,9.085275,2.320272,7.288292
DBH,0.36379,0.307288,0.119209
ATPAF1,6.113936,7.795946,8.389247
STIL,0.824533,0.966249,0.353431
HJURP,0.552127,4.95E-02,5.52E-02
IL13RA2,0,0,0
COL10A1,0,0,0
AMD1,35.187096,39.041599,36.134632
NDUFAF4,6.43078,9.148259,5.62309
USP45,1.666125,2.128881,1.664852
PLP1,0,0,0
SERPINA7,0,0,0
MORF4L2,36.42968,34.00296,41.450451
H2BFWT,0,0,0
RAB9B,0.113397,0.341791,0.166457
NRK,0,0,0
FAM199X,3.451654,3.65819,4.073852
ESX1,0,0,0
MAGEA9B,0,0,0
ATXN3L,0,0,0
RAB9A,20.747469,19.820757,25.023588
METTL8,7.568053,9.83574,7.285959
TTC21B,2.582506,2.496554,2.426272
NMI,18.836124,44.535572,20.769766
TNFAIP6,1.076449,415.9599,0.493888
ACVR1C,0.0178,0,0
BAZ2B,9.295494,12.666002,11.667315
SLC36A1,26.124178,15.54116,25.588646
LPGAT1,7.371725,12.144036,10.085675
BATF3,0.248832,9.034243,7.969431
G0S2,3.53656,390.157196,4.013733
KCNJ2,0.646025,4.816708,1.742839
RAP2C,9.802711,28.112652,10.725696
EXOSC9,11.059403,8.44999,11.697568
PLA2G12A,3.57634,2.539749,2.487323
B9D2,4.060431,4.484158,3.932976
ADCK4,9.447774,8.526725,4.838776
PFKFB2,5.036788,3.949212,6.612823
C4BPA,0,0,0
C4BPB,0,0.119735,0
ZNF137P,1.176706,0.863318,1.153164
RAB38,11.99675,4.201173,23.972015
GPR83,0,0,0
AGO2,4.995343,7.902712,11.583194
MXD4,8.000904,3.762271,10.112365
PMS2P5,1.202699,1.107593,0.561397
CKS2,16.21242,20.448175,15.83225
DAW1,0.043203,0,3.55E-02
ACSL3,18.530277,22.431957,17.772966
CHPF,2.768767,5.449341,3.84816
DNPEP,20.993834,43.134586,32.52042
INHA,0.062332,0,0
MOGAT1,0.25552,0,0
OBSL1,2.233598,1.559458,3.86588
FAM124B,0.185431,0,6.78E-02
SLC12A4,5.547298,5.038271,4.714135
ENKD1,3.310333,4.724567,1.800009
MC3R,0,0,0
GCNT7,0,5.61E-02,0
CTCFL,0,0,0
HMGB1P1,7.646428,6.867344,7.842944
FAM210B,13.639153,10.041178,14.340264
PI3,0,0,0
FAM209A,0,0.149533,0.292194
SNX21,0.668699,1.899036,1.821158
SLPI,0,0,0
WFDC3,0,0.233153,0
TTPAL,1.247244,2.391472,1.213151
PREX1,24.724031,42.968731,25.183079
KCNS1,0.04746,0,3.93E-02
SLC12A5,0,1.04002,0
ARHGAP40,0,0,0
SDC4,50.94083,95.864998,60.591434
NCOA3,9.029983,15.593247,11.156122
PIGT,63.574249,53.762566,84.390099
SEMG2,0,0,0
MATN4,0,3.49E-02,0
NCOA5,7.412,7.432947,6.867643
VAPB,3.925004,3.584656,3.653567
PARD6B,0.025357,0.105866,2.81E-02
ATP5E,85.123917,66.9897,91.680725
CHD6,2.941876,3.499686,4.743492
PLCG1,8.593072,8.338846,10.240709
TOX2,0,4.57E-02,3.33E-02
SRSF6,45.601925,32.695705,37.902962
GDAP1L1,0,0,0
GTSF1L,0,0,0
ARFGEF2,13.471109,13.885126,17.140648
ZNFX1,22.663263,75.509705,25.481148
ZNF831,0.079549,0.120789,6.58E-02
EDN3,0,0,0
CSE1L,12.020104,11.319336,12.951559
TMEM189-UBE2V1,0,6.422381,0
RAB22A,6.770017,6.169961,6.540813
PTGIS,0,0,0
STAU1,21.622295,26.315044,22.221849
CDH26,0.066684,0.15838,0.106255
SNAI1,0.248712,0.441278,0
MOCS3,3.312533,3.436927,4.155804
STX16,19.741133,24.564474,21.63242
PPP4R1L,3.238645,4.168569,2.497132
PMEPA1,0.175888,1.129868,9.07E-02
RNF114,27.100718,79.45295,26.86524
ANKRD60,0,0,0
DDX27,12.80118,12.54202,13.920384
RBPJL,0,0,0
SEMG1,0,0,0
C20orf85,0,0,0
BCAS4,49.88105,50.66151,53.343163
KCNK15,0,9.01E-02,0
TP53TG5,0.431312,0.195941,0.468269
PCK1,0,0,0
ZBP1,0.121867,6.327386,0.210696
NEURL2,0,0.834027,0
MAGEA10,0,0,0
MTRR,11.460424,17.089214,11.870916
FASTKD3,3.385861,2.549237,2.527076
PEPD,94.211426,72.760048,142.988602
CHST8,0,0,0
IQSEC2,3.861216,4.756735,4.997103
VAMP7,16.731602,9.837413,18.952187
IL9R,1.001565,0.304393,0.544063
XG,0,0,0
STAMBP,8.26857,10.370519,10.288808
NAGK,96.716698,51.320736,72.60199
MCEE,4.220225,3.659187,4.921268
PAIP2B,0.034187,2.78E-02,7.12E-02
SNRNP27,9.5904,10.34281,14.660514
MPHOSPH10,10.195903,9.690622,10.4408
IL17C,0,0.281999,0
RP11-663P9.2,4.30754,4.982128,4.45932
ATP8A1,2.430303,1.65066,3.954416
USP22,41.749409,38.120678,40.824203
POF1B,0,0,0
HIF3A,0,0,0
ZNF576,4.04506,3.436557,4.377164
IRGC,0,0,0
ZNF45,4.542209,3.875882,3.94892
LYPD3,0.217835,0.701206,0.971075
PSG8,0,0,0
CEACAM8,0,3.43E-02,0.116514
NDP,0,0.234386,0
USP9X,15.868137,19.978842,20.096952
CRISP2,0,0,0
F13A1,0,0,18.124796
GRM4,0.012274,0,0
TRERF1,3.626053,1.82128,4.507779
PACSIN1,0,2.80E-02,0
BTN2A2,7.022343,10.074716,12.774318
SIRT5,2.6767,2.250973,4.618815
HIST1H4B,0,0,0
MRS2,15.459903,12.436213,15.332941
WRNIP1,15.937838,20.614799,18.012321
RRP36,22.316008,27.054527,26.687984
BTN2A3P,0.934628,1.974699,0.80022
